Geo Point;Löv- eller barrträd;Trädart vetenskapligt namn;Trädart svenskt namn;Gatu- eller parkträd;Planteringsdatum
63.812703908293656, 20.29790611708408;Lövträd;Betula Sp.;Björk;Parkträd;
63.83186825990359, 20.159788434590414;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.820438861199364, 20.209426243910155;Lövträd;Betula Sp.;Björk;Parkträd;
63.810172060202994, 20.34749138978497;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.84407133267168, 20.308501012595713;Lövträd;Betula Sp.;Björk;Parkträd;
63.62490536042277, 19.924670015127383;Lövträd;Betula Sp.;Björk;Parkträd;
63.83006729981377, 20.27488850740617;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;2011-07-01
63.8278824683619, 20.261882480863722;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.8233671157377, 20.296195340275286;Lövträd;Salix Caprea;Sälg;Parkträd;
63.82974486174019, 20.278606510156074;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.83855797291498, 20.228446629971234;Lövträd;Betula Sp.;Björk;Parkträd;
63.81504973668812, 20.265820026477858;Lövträd;Betula Sp.;Björk;Parkträd;
63.63370127793818, 19.910929976696664;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.83639414715935, 20.227574723926633;Barrträd;Picea Abies;Gran;Parkträd;
63.847024507326154, 20.32536321798115;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.8315708008366, 20.24125600834728;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.8398576619189, 20.283587055831653;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.61356576722981, 19.90820169168955;Lövträd;Betula Pendula Fk Finland;Vårtbjörk Fk Finland;Parkträd;2018-10-29
63.8490948560926, 20.304197182213226;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.71195176868387, 20.359380532859564;Lövträd;Salix Alba;Vitpil;Parkträd;
63.80630110583058, 20.32191403543358;Lövträd;Quercus Rubra;Rödek;Parkträd;2022-05-22
63.82681262252919, 20.273439356279994;Lövträd;Betula Sp.;Björk;Gatuträd;
63.839074740900756, 20.163794986797978;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.811748082066806, 20.314295386569505;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.81245818144481, 20.305596786548985;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.83212573024996, 20.23966650664751;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.81956220502637, 20.249206857802296;Lövträd;Betula Sp.;Björk;Parkträd;
63.8118529665133, 20.340438766822686;Lövträd;Betula Sp.;Björk;Parkträd;
63.87981615805315, 20.30743940117175;Lövträd;Betula Sp.;Björk;Parkträd;
63.8473926689792, 20.30997100753807;Lövträd;Betula Sp.;Björk;Parkträd;
63.84604599545184, 20.341981997815818;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2012-07-01
63.853861876069686, 20.328800104824047;Lövträd;Betula Sp.;Björk;Parkträd;
63.83722383112215, 20.177905908203478;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.82451766578968, 20.267715465001135;Lövträd;Acer Platanoides;Skogslönn;Parkträd;
63.83686747770785, 20.26970167301945;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.835433449572044, 20.232635997231608;Lövträd;Betula Sp.;Björk;Parkträd;
63.80963677947679, 20.34114750034419;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.85274836370408, 20.305734833206685;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.799462179498235, 20.28212289984704;Lövträd;Prunus Virginiana;Virginiahägg;Parkträd;
63.87912380160071, 20.30710931605065;Lövträd;Betula Sp.;Björk;Parkträd;
63.84858095775514, 20.306892788078688;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.812555116231486, 20.301389112365033;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.82732728797473, 20.23850026318077;Lövträd;Betula Sp.;Björk;Parkträd;
63.836479223904895, 20.26456243806237;Lövträd;Betula Sp.;Björk;Parkträd;
63.83202270063419, 20.239296695797613;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.69513538361841, 20.355510476335073;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.8366859588642, 20.209876348180664;Lövträd;Betula Sp.;Björk;Parkträd;
63.83698192188643, 20.219666970916293;Lövträd;Betula Sp.;Björk;Parkträd;
63.79415783658586, 20.30409171384193;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.837779954774, 20.31779638119855;Lövträd;Betula Sp.;Björk;Parkträd;
63.84650903563143, 20.305090224488126;Lövträd;Betula Sp.;Björk;Parkträd;
63.63272027228035, 19.90887474747181;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.8327141207356, 20.255893239002056;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.81627306524304, 20.206091730963614;Barrträd;Picea Abies;Gran;Parkträd;
63.822318396565755, 20.24366264566872;Lövträd;Betula Sp.;Björk;Parkträd;
63.830737409644584, 20.208835480674;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.839243303498634, 20.23046830275022;Lövträd;Betula Sp.;Björk;Parkträd;
63.8196584624065, 20.25233067424944;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.62519458575276, 19.91646095863003;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
